Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"CMPY_CD",1F6556D0-3336-E143-D8D3-6595EB999F71,872,,4C5E4CE1-3573-A8F0-4262-0FF1B3B3A5DE,801,Y,Domain,,,,,1C3581E2-E309-D399-AE4F-90A701B49D4B,347,LOGDT024,756,,,,,,,,,Y,"ORG_CMPY_ID",VARCHAR,,,,,,,,"HR_FO Company",P,,,1,10 CHAR,,,,
"CMPY_CD",DDF52736-B136-69A9-06F9-84A589F67BCA,873,,5D52AB05-9BF2-53DC-A872-6CCA648A8623,796,N,Domain,,,,,1C3581E2-E309-D399-AE4F-90A701B49D4B,347,LOGDT024,756,,,,,,,,,Y,"ORG_CMPY_ID",VARCHAR,,,,,,57924486-F9F7-AB28-C9A1-EA5173F8268C,1453,"HR_FCT_HEADCOUNT",,F,"used inv8",2,10 CHAR,,,,
"CMPY_CD",4E0A65FB-F842-6F4F-E324-50BAA26EE88E,874,,7E474EC7-A7B8-2CE4-FDE0-51C6D166A3DB,800,Y,Domain,,,,,1C3581E2-E309-D399-AE4F-90A701B49D4B,347,LOGDT024,756,,,,,,,,,Y,"ORG_CMPY_ID",VARCHAR,,,,,,14DE11DF-AA88-E995-BA98-229470986BE1,1406,"HR_FO Business Unit",P,F,"host forv1",1,10 CHAR,,,,
"CMPY_CD",EEED236A-6C40-AE08-A503-53E31A4F03A6,875,,BB9B8FC0-AE76-E9FC-C361-3114F990686C,803,N,Domain,,,,,1C3581E2-E309-D399-AE4F-90A701B49D4B,347,LOGDT024,756,,,,,,,,,Y,"ORG_CMPY_ID",VARCHAR,,,,,,CC27DE43-13C3-19BC-17DB-CF77742C758C,1405,"HR_FO Department",,F,"host for",1,10 CHAR,,,,
"communication",BC4013AB-EA21-639B-734D-867C86EC3426,876,,281917B0-D559-37BA-F32F-188B69F08C76,813,N,Domain,,,,,03696F46-0A59-EEF9-DF86-6653FAC94762,33,LOGDT024,756,,,,,,,,,Y,"COMM_EMAIL",VARCHAR,,,,,,,,"Pupil",,,,3,50 CHAR,,,,
"COST_CENTER",8807E64A-9270-5C63-51CB-3911AC79D877,877,,951DB69B-041E-5D6C-06E8-FCFEEA96A58F,802,Y,Domain,,,,,F7A32204-9BE1-BF5F-F83B-44744BA4AF45,354,LOGDT024,756,,,,,,,,,Y,"ORG_DPT_ID",VARCHAR,,,,,,,,"HR_FO Cost Center",P,,,1,10 CHAR,,,,
"COST_CENTER_NAME",E4523637-E748-F115-5B8B-6F39A0B81D3C,878,,951DB69B-041E-5D6C-06E8-FCFEEA96A58F,802,N,Domain,,,,,F8005FE7-AE80-F9FE-8B93-2496D8BD5B31,353,LOGDT024,756,,,,,,,,,Y,"ORG_DPT_CC",VARCHAR,,,,,,,,"HR_FO Cost Center",,,,2,20 CHAR,,,,
"Country",F99BDCE1-D69D-A99A-2268-B401AB276125,879,,DC03343D-ACCA-2BB8-52D3-73DDE2A32D8D,769,N,Domain,,,,,DOM3000004,691,LOGDT017,695,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"Geo Reference Data",,,,1,,,,,
"COUNTRY_ISO3166_2_CHAR2",05F29B06-EA18-746D-0532-D4BCF35605E9,880,,C685CC87-4C43-43B0-F455-E8830148EAF8,799,N,Domain,,,,,29C78BE9-0C82-9E33-1C53-50642ACEB50C,2,LOGDT024,756,,,,,,,,,N,"ADDR_COUNTRY_ISO_3166_2",VARCHAR,,,,,,,,"HR_FO_Country",,,,2,2 CHAR,,,,
"COUNTRY_ISO3166_2_CHAR3",B1779627-6EE7-AC7E-8B08-82C0B66CC2EB,881,,1FEE3D32-5596-7F3D-47B5-07EB1E709CE5,773,Y,Domain,,,,,0F684EAE-63C4-56F2-EE06-2F5CD2C5FFFE,3,LOGDT024,756,,,,,,,,,N,"ADDR_COUNTRY_ISO_3166_3",VARCHAR,,,,,,D17CCF5A-0E36-930B-B542-CE7CFB6088CA,1402,"HR_EMP_ADDR_WORK",P,F,"hosted byv2",2,3 CHAR,,,,
