Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
8185BE88-2109-CC0E-8E0E-A2EA404F5A13,"DM_CODE_SALUTATION",96,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
2A2E5CEC-B723-FA10-924F-A658DCB175BC,"DM_CODE_SERVICE",97,,LOGDT017,691,2 CHAR,,,UNKNOWN,unknown,
4B93DD62-22EA-B8E4-9419-AF1369F38717,"DM_CODE_SHIPMENT",98,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
D33EBAE1-F4F6-50BC-718B-254A3ACBCF3F,"DM_CODE_SIC",99,"NAV code",LOGDT017,691,10 CHAR,,,UNKNOWN,unknown,
616E02BB-D841-9436-0458-7C2DE614DD1C,"DM_CODE_STATE",100,,LOGDT024,752,20 CHAR,,,VARCHAR,VARCHAR,
7B99BC04-A3D7-EC9C-5830-2AEF657E7A16,"DM_CODE_STATE_RECOMMENDED",101,,LOGDT019,724,1 CHAR,,,NUMERIC,NUMERIC,
433B8330-B0D5-4D66-90AE-DB220D916DAF,"DM_CODE_STATE_SUBDIVISION_CAT",102,,LOGDT024,752,40 CHAR,,,VARCHAR,VARCHAR,
2738851F-91AB-8B8E-870A-F4512C81A8A2,"DM_CODE_TAX",103,"EU Tax Code",LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
E6B279CD-B483-FFCF-AAA1-F32448E2FDE5,"DM_CODE_TENANT",104,,LOGDT017,691,10 CHAR,,,UNKNOWN,unknown,
B1E763F7-ABAD-1824-98ED-E9E38A7D15B8,"DM_CODE_UOM",105,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
31E993BB-AA09-50D9-A266-A9C6465540A5,"DM_CREATED_BY",106,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
8DDCF846-1A46-E8CB-0E1C-BFA61E9C1B2B,"DM_ENTITY_TYPE",107,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
BE86AD07-078E-8B8A-06C9-F555D0A076AC,"DM_GEO_AP_LAT_MIN",108,,LOGDT017,691,,7,4,UNKNOWN,unknown,
078FBC6C-58B4-4283-1845-3B0978F39449,"DM_GEO_AP_LONG_DEG",109,,LOGDT017,691,,7,4,UNKNOWN,unknown,
A221475A-C595-A91D-907D-D716BC62C2AB,"DM_GEO_AP_LONG_LOC",110,,LOGDT017,691,1 CHAR,,,UNKNOWN,unknown,
1F2C38EA-2E89-849A-FAF3-05277B04CCE4,"DM_GEO_AP_LONG_MIN",111,,LOGDT017,691,,7,4,UNKNOWN,unknown,
102AA6BB-3C4F-A034-8F67-021B3D0C9379,"DM_GEO_AP_LONG_SEC",112,,LOGDT017,691,,9,6,UNKNOWN,unknown,
C609001E-13E4-9ACC-5E71-87AB32CF848C,"DM_NO_ACCOUNT",113,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
D78AF6E6-5411-CABF-70FA-6A56F2BCCF95,"DM_NO_AIRCRAFT",114,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
873B6AE4-465D-9FA0-494E-0BE1CB3119FA,"DM_NO_AIRCRAFT_MODEL",115,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
1A9DA22A-D45C-BB61-D421-3BCD4CCB93C5,"DM_NO_AIRCRAFT_PATTERN",116,,LOGDT017,691,10 CHAR,,,UNKNOWN,unknown,
D9FB1A3F-1D6F-A72A-AE59-836403AC3E84,"DM_NO_AIRCRAFT_PREFIX",117,,LOGDT017,691,10 CHAR,,,UNKNOWN,unknown,
E5202E02-AB86-005E-19A2-4B95392DEA45,"DM_NO_AIRCRAFT_TYPE",118,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
88470B37-CB64-7E5C-3C1A-BAC8EBCAACB7,"DM_NO_BILL",119,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
1922E238-42A2-AAEA-B54C-ECE79A609367,"DM_NO_CHAR30",120,,LOGDT024,752,30 CHAR,,,VARCHAR,VARCHAR,
6BB6D2ED-1759-8144-F5B7-39DC229608A4,"DM_NO_CHAR50",121,,LOGDT024,752,50 CHAR,,,VARCHAR,VARCHAR,
32C18E01-CEE7-CECC-A348-7C6D4F113118,"DM_NO_CHAR80",122,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
AE643A84-599F-A3DB-30FE-5EEAE592F5CB,"DM_NO_COMPETITOR",123,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
A51646FD-D3C8-128A-0D76-F9D3C232F189,"DM_NO_CONTRACT",124,,LOGDT017,691,30 CHAR,,,UNKNOWN,unknown,
A7BC9A19-6258-A584-9440-0FA37E9B25F1,"DM_NO_CREW",125,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
5882718C-A66A-9393-ED62-8273327225DF,"DM_NO_CUSTOMER",126,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
F67483DB-12C7-6FE2-D637-B556CAFCA1B6,"DM_NO_ENTITY",127,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
FF8B064C-38BC-4415-C32E-7D7B8A5C6A24,"DM_NO_FLIGHT",128,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
FD1DB045-B078-446A-36C2-F84C78F5FCAC,"DM_NO_ITEM",129,,LOGDT017,691,30 CHAR,,,UNKNOWN,unknown,
60DE95BE-4188-4A8C-3630-5DB7412638FA,"DM_NO_LINE",130,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
4237D5F6-FEAE-07C2-513C-C5B0D1635A91,"DM_NO_LOG",131,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
993A99FE-88C5-7A21-1C7C-3E30F068ED9A,"DM_NO_ORDER",132,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
591CA079-A039-9907-B41F-01704E93DAB9,"DM_NO_PART",133,,LOGDT017,691,30 CHAR,,,UNKNOWN,unknown,
DF4178A0-74EF-1F2A-89D8-D7C49C9D7A23,"DM_NO_PKI",134,,LOGDT017,691,10 CHAR,,,UNKNOWN,unknown,
F9CDE5F2-3D25-63AF-DC4B-171BA3B07BCC,"DM_NO_PMO_ACTIVITY",135,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
B45B1315-EBEA-AC60-B789-123F8A4487BE,"DM_NO_PMO_BUDGET",136,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
D08E66A2-4F9F-87F9-B252-6E50B90156F4,"DM_NO_PMO_INCIDENT",137,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
F865B9BB-B396-1B97-BEF2-B54F74B49A1A,"DM_NO_PMO_PROGRAM",138,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
92F95355-885E-8C0C-EF0B-0913888C1A40,"DM_NO_PMO_PROJECT",139,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
38504063-7A19-75D7-09A6-0C30A21FB150,"DM_NO_PMO_REQUEST",140,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
65FFB7F7-4851-AC61-963C-B460624FEC15,"DM_NO_PMO_TASK",141,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
C9DB3617-886F-2191-BD81-35DB9EE89F4A,"DM_NO_PMO_TEAM",142,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
8D048DCE-CBB2-B96A-893F-E5B99C95FB24,"DM_NO_PO",143,"Purchase Order",LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
4809523B-CA49-8C4F-D064-684565FBBB32,"DM_NO_PO_PRODUCT",144,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
F1F202AB-1208-09C1-1233-7AEC5A1CA7BA,"DM_NO_PREMISE",145,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
83FDCBDA-BD5C-A8D2-7981-B8262690DE81,"DM_NO_PRICELIST",146,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
D318530F-8426-96AF-EBCB-23EA5432C031,"DM_NO_PRODUCT",147,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
EAC41639-118F-6F3D-C00B-84D03577D0C5,"DM_NO_PROJECT",148,,LOGDT017,691,30 CHAR,,,UNKNOWN,unknown,
3E0CDAF9-709F-3130-F86A-AB8833B6DB81,"DM_NO_PROSPECT",149,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
CA637903-5186-9E79-1916-4BA3204036BA,"DM_NO_QUESTION",150,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
63EE0E86-C5B3-93FC-3AB4-309B8B14AC1A,"DM_NO_QUOTE",151,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
C73DDBA8-D231-E135-C25F-852367C90E57,"DM_NO_QUOTE_REV",152,,LOGDT017,691,5 CHAR,5,0,UNKNOWN,unknown,
5D964BFD-7E4C-E1FA-4E28-EE9B83B7C69A,"DM_NO_RESPONDENT",153,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
79E32B55-FC79-C42D-BB70-25463DDC23BB,"DM_NO_SALESREP",154,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
6AC5F24D-4F61-F755-B49F-E712111A4087,"DM_NO_SEQ",155,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
32434830-EB6C-FFB5-EFC2-4D2E99CA1BBA,"DM_NO_SLA",156,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
39A04FF9-67E6-0CD8-85C1-B72CDC7941F1,"DM_NO_STATION_FAA",157,,LOGDT017,691,4 CHAR,,,UNKNOWN,unknown,
2E2AAAAC-580B-6B32-C372-E0A61B7EB8AB,"DM_NO_STATION_IATA",158,,LOGDT017,691,3 CHAR,,,UNKNOWN,unknown,
CD25E0A0-3DC6-568E-7E23-0B9961A69CAC,"DM_NO_STATION_ICAO",159,,LOGDT017,691,4 CHAR,,,UNKNOWN,unknown,
3C761ADC-1A39-EAA9-9E0C-3D8AC0D40BE9,"DM_NO_SURVEY",160,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
721D1FE4-7E50-2835-2A2D-1BA9676E06A9,"DM_NO_TASK",161,,LOGDT017,691,30 CHAR,,,UNKNOWN,unknown,
D69D1BBE-8547-A6FB-1159-E81529844F06,"DM_NO_TIMECARD",162,,LOGDT017,691,30 CHAR,,,UNKNOWN,unknown,
4DC3F5B9-BA1F-63EA-5905-1B9606B31F9C,"DM_NO_VENDOR",163,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
8B302699-FEC8-F4B6-F893-1F71FDE43D0C,"DM_NO_WORKORDER",164,,LOGDT017,691,30 CHAR,,,UNKNOWN,unknown,
5EF0879B-E802-2ECB-35D2-25D24AFBA4BD,"DM_RATE_0_1",165,,LOGDT017,691,19 BYTE,11,7,UNKNOWN,unknown,
9D79533A-A281-883A-D3A7-A49C05280033,"DM_REFCODE_ACTIVITY",166,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
C4864BD3-D5A3-A30C-45F0-DB6458198656,"DM_REFCODE_CODES",167,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
6E9C5CDE-8A02-6CA9-767E-4783E80FA622,"DM_REFCODE_ORDERS",168,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
