Attribute_Name,Mandatory,Num_Domain_ID,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Entity_Name,PK_Flag,FK_Flag,Sequence,T_Size,T_Precision,T_Scale,Data_Source
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP,,,16,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_BANK_INFO_HISTORY,,,3,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_Holidays,,,2,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_MGR,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_EVENT_REASON,,,6,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_ADDR_PERSONAL_HISTORY,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_FO_BUSINESS_UNIT,,,6,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_PERSONAL,,,13,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_GENDER,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_time,,,3,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_CLASS,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_Holiday_Calendar,,,2,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_FO_COST_CENTER,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_BANK_INFO,,,5,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_STATUS,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_FO_DEPARTMENT,,,7,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_POSITION,,,13,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_FO_DIVISION,,,7,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_FO_COUNTRY,,,8,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_Holiday_Assignment,,,2,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_TYPE,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_Job_Code,,,13,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_EMPLOYMENT,,,16,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_ADDR_PERSONAL,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_PERSONAL_HISTORY,,,12,20,,,
dt_hired,N,297,Y,KEY_DATE_YYYYMMDD,Date,HR_EMP,,,13,8,,,
dt_started,N,297,Y,KEY_DATE_YYYYMMDD,Date,HR_EMP,,,14,8,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_EVENT,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_JOB,,,21,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_ADDR_WORK,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_BANK_ACC_TRANSIT,,,4,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_COMPANY,,,7,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP,,,17,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_BANK_INFO_HISTORY,,,4,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_Holidays,,,3,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_MGR,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_EVENT_REASON,,,7,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_ADDR_PERSONAL_HISTORY,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_BUSINESS_UNIT,,,7,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_PERSONAL,,,14,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_GENDER,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_time,,,4,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_CLASS,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_Holiday_Calendar,,,3,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_COST_CENTER,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_BANK_INFO,,,6,18,,,
